"mech","type","skew","amount","mean","sd","median","iqr"
"MAR","RIGHT","diff",-0.1189,0.1529,-0.3726,0.1904,0.0082
"MAR","LEFT","no",0.018,0.2174,-0.0263,0.2211,-0.0141
"MAR","LEFT","yes",0.0947,0.0564,0.2609,0.039,-0.004
"MAR","LEFT","diff",-0.0767,-0.161,0.2873,-0.1821,0.0101
"MAR","MID","no",-0.0039,0.0148,0.0445,0.0119,0.0752
"MAR","MID","yes",0.123,0.0223,0.2122,0.0021,0.0118
"MAR","MID","diff",-0.1269,0.0075,0.1677,-0.0097,-0.0634
"MAR","TAIL","no",-0.0188,0.0116,-0.0298,0.0082,3e-04
"MAR","TAIL","yes",0.0926,-0.0155,-0.263,-0.0012,-0.0127
"MAR","TAIL","diff",-0.1114,-0.0271,-0.2332,-0.0094,-0.013
"MNAR","RIGHT","no",-0.0364,-0.3937,-0.0852,-0.396,-0.1189
"MNAR","RIGHT","yes",0.0737,-0.0478,-0.7953,-0.0218,-6e-04
"MNAR","RIGHT","diff",-0.1101,0.3459,-0.71,0.3742,0.1183
"MNAR","LEFT","no",-0.0256,0.4066,-0.0952,0.3912,-0.1168
"MNAR","LEFT","yes",0.1004,0.0506,0.4081,0.0166,-4e-04
"MNAR","LEFT","diff",-0.126,-0.356,0.5033,-0.3745,0.1164
"MNAR","MID","no",-0.0149,0.0056,0.1665,0.0188,0.389
"MNAR","MID","yes",0.0886,0.054,0.6746,-0.0049,0.0131
"MNAR","MID","diff",-0.1035,0.0485,0.5081,-0.0237,-0.3758
"MNAR","TAIL","no",-0.0175,0.013,-0.1933,0.0056,-0.2854
"MNAR","TAIL","yes",0.0881,-0.0305,-0.8177,-1e-04,-0.0085
"MNAR","TAIL","diff",-0.1056,-0.0434,-0.6243,-0.0057,0.2769
"MCAR","MCAR","no",-0.0055,0.0129,-0.0027,0.018,0.005
"MCAR","MCAR","yes",0.1077,-0.0058,-0.083,0.0013,-0.0031
"MCAR","MCAR","diff",-0.1133,-0.0186,-0.0803,-0.0167,-0.0082
"MCAR","MCAR","no",0.0343,0.0026,0.0056,0.0117,0.0151
"MCAR","MCAR","yes",0.1413,0.0119,0.1144,0,-0.0027
"MCAR","MCAR","diff",-0.107,0.0094,0.1088,-0.0117,-0.0178
"MCAR","MCAR","no",-0.0426,-0.0115,0.0146,-0.0227,0.0044
"MCAR","MCAR","yes",0.1138,0.0016,0.0233,-0.0038,6e-04
"MCAR","MCAR","diff",-0.1564,0.0131,0.0087,0.0188,-0.0038
"MCAR","MCAR","no",-0.0013,-0.0114,-0.0031,-0.0187,-0.0079
"MCAR","MCAR","yes",0.1124,-0.0064,-0.091,-6e-04,-0.003
"MCAR","MCAR","diff",-0.1137,0.005,-0.0878,0.0181,0.0049
"MAR","RIGHT","no",0.018,-0.2025,-0.0245,-0.2041,-0.0579
"MAR","RIGHT","yes",0.1293,-0.0532,-0.3445,-0.0294,-0.0035
"MAR","RIGHT","diff",-0.1113,0.1493,-0.32,0.1747,0.0544
"MAR","LEFT","no",0.0057,0.2113,-0.0128,0.216,0.012
"MAR","LEFT","yes",0.0876,0.0628,0.3177,0.0406,-0.0031
"MAR","LEFT","diff",-0.082,-0.1485,0.3305,-0.1754,-0.0151
"MAR","MID","no",-0.0429,-0.0129,0.046,-0.0093,0.0785
"MAR","MID","yes",0.0882,0.0156,0.253,-0.005,0.0168
"MAR","MID","diff",-0.1311,0.0284,0.207,0.0042,-0.0618
"MAR","TAIL","no",-0.0189,0.0043,-0.044,-8e-04,-0.0569
"MAR","TAIL","yes",0.0926,0.0051,0.0436,-3e-04,-0.0103
"MAR","TAIL","diff",-0.1115,9e-04,0.0876,4e-04,0.0466
"MNAR","RIGHT","no",0.0345,-0.4238,-0.1044,-0.4096,-0.1701
"MNAR","RIGHT","yes",0.0833,-0.0487,-0.7893,-0.0211,-0.005
"MNAR","RIGHT","diff",-0.0488,0.3751,-0.6849,0.3885,0.1651
"MNAR","LEFT","no",0.0128,0.4213,-0.0896,0.4389,-0.1672
"MNAR","LEFT","yes",0.0787,0.0517,0.3953,0.0253,-0.0084
"MNAR","LEFT","diff",-0.0658,-0.3696,0.4849,-0.4136,0.1588
"MNAR","MID","no",0.002,-0.004,0.1647,0.0076,0.381
"MNAR","MID","yes",0.0963,0.0604,0.7028,-0.0067,0.015
"MNAR","MID","diff",-0.0943,0.0643,0.5381,-0.0143,-0.3659
"MNAR","TAIL","no",0.0307,-0.0091,-0.2105,-0.0155,-0.3148
"MNAR","TAIL","yes",0.1097,-0.036,-0.8383,-1e-04,-0.0109
"MNAR","TAIL","diff",-0.0791,-0.0269,-0.6278,0.0154,0.304
"MCAR","MCAR","no",0.029,-0.0144,0.0023,-0.0179,0.0025
"MCAR","MCAR","yes",0.1207,0.0043,0.0497,3e-04,-8e-04
"MCAR","MCAR","diff",-0.0917,0.0187,0.0475,0.0182,-0.0034
"MCAR","MCAR","no",-0.0029,-0.0177,0.0095,-0.0254,0.008
"MCAR","MCAR","yes",0.1266,0.0167,0.1786,-2e-04,0.0013
"MCAR","MCAR","diff",-0.1295,0.0344,0.1691,0.0252,-0.0067
"MCAR","MCAR","no",0.0236,0.0133,-0.0149,0.0215,-0.0133
"MCAR","MCAR","yes",0.0809,-0.0049,-0.1164,-3e-04,-0.0028
"MCAR","MCAR","diff",-0.0573,-0.0182,-0.1015,-0.0218,0.0105
"MCAR","MCAR","no",0.0236,9e-04,-0.0082,-0.0058,1e-04
"MCAR","MCAR","yes",0.1161,-8e-04,-0.0214,-4e-04,-6e-04
"MCAR","MCAR","diff",-0.0925,-0.0017,-0.0131,0.0053,-7e-04
"MAR","RIGHT","no",-0.0108,-0.2104,-0.0208,-0.2018,-0.027
"MAR","RIGHT","yes",0.1028,-0.0641,-0.5967,-0.0338,-0.0069
"MAR","RIGHT","diff",-0.1137,0.1463,-0.5759,0.168,0.02
"MAR","LEFT","no",-0.0105,0.2079,-0.0192,0.2102,-0.0143
"MAR","LEFT","yes",0.0985,0.0522,0.2288,0.0327,-0.0093
"MAR","LEFT","diff",-0.1091,-0.1557,0.248,-0.1775,0.0051
"MAR","MID","no",-0.0238,-0.0204,0.0519,-0.0277,0.0753
"MAR","MID","yes",0.1089,0.0075,0.1015,-0.0017,0.0108
"MAR","MID","diff",-0.1327,0.0279,0.0496,0.026,-0.0644
"MAR","TAIL","no",-0.0044,-0.0019,-0.0511,0.0048,-0.0657
"MAR","TAIL","yes",0.123,-0.0137,-0.188,0.0014,-0.0095
"MAR","TAIL","diff",-0.1274,-0.0117,-0.1369,-0.0034,0.0562
"MNAR","RIGHT","no",0.014,-0.4161,-0.1018,-0.4172,-0.1493
"MNAR","RIGHT","yes",0.122,-0.0499,-0.8583,-0.01,-0.0025
"MNAR","RIGHT","diff",-0.108,0.3663,-0.7565,0.4072,0.1468
"MNAR","LEFT","no",-0.0118,0.4021,-0.0769,0.3994,-0.0918
"MNAR","LEFT","yes",0.1026,0.0489,0.4193,0.0116,-0.0027
"MNAR","LEFT","diff",-0.1145,-0.3532,0.4962,-0.3878,0.0891
"MNAR","MID","no",0.0092,-0.0084,0.1666,-0.0226,0.3723
"MNAR","MID","yes",0.1249,0.0806,0.7151,-0.0053,0.0037
"MNAR","MID","diff",-0.1157,0.0891,0.5485,0.0173,-0.3687
"MNAR","TAIL","no",-0.0262,-0.0052,-0.1973,-0.0071,-0.3324
"MNAR","TAIL","yes",0.1045,-0.0337,-0.8439,0.003,-0.0041
"MNAR","TAIL","diff",-0.1307,-0.0285,-0.6465,0.0101,0.3283
"MCAR","MCAR","no",-0.0191,0.0059,0.0029,0.0192,-0.0052
"MCAR","MCAR","yes",0.1056,-2e-04,0.0087,-0.0014,-0.0011
"MCAR","MCAR","diff",-0.1248,-0.0061,0.0058,-0.0206,0.0042
"MCAR","MCAR","no",0.03,0.0036,-0.0043,0.0037,-0.0021
"MCAR","MCAR","yes",0.0969,0.0144,0.1665,0.0042,0.0041
"MCAR","MCAR","diff",-0.0669,0.0108,0.1708,5e-04,0.0062
"MCAR","MCAR","no",-0.0525,0.0051,-0.0091,-0.0035,-0.0164
"MCAR","MCAR","yes",0.1123,0.0069,0.0852,1e-04,-0.0015
"MCAR","MCAR","diff",-0.1649,0.0018,0.0943,0.0036,0.0149
"MCAR","MCAR","no",0.0149,0.0113,0.0036,0.0112,0.0109
"MCAR","MCAR","yes",0.1111,-0.0038,-0.074,7e-04,0.0017
"MCAR","MCAR","diff",-0.0961,-0.0151,-0.0776,-0.0104,-0.0092
"MAR","RIGHT","no",-0.0091,-0.2142,-0.0258,-0.2227,-0.0262
"MAR","RIGHT","yes",0.1031,-0.064,-0.5966,-0.0351,-0.0049
"MAR","RIGHT","diff",-0.1122,0.1502,-0.5708,0.1876,0.0213
"MAR","LEFT","no",0.0105,0.2138,-0.0236,0.2086,-0.0239
"MAR","LEFT","yes",0.0978,0.0437,0.1197,0.0347,-0.0057
"MAR","LEFT","diff",-0.0874,-0.1702,0.1432,-0.174,0.0182
"MAR","MID","no",-0.0013,0.0141,0.0341,0.002,0.0741
"MAR","MID","yes",0.1198,0.0364,0.3725,3e-04,0.0082
"MAR","MID","diff",-0.1211,0.0223,0.3383,-0.0017,-0.0659
"MAR","TAIL","no",-0.0035,-0.0202,-0.0469,-0.0167,-0.055
"MAR","TAIL","yes",0.1231,-0.017,-0.2406,0.0013,-0.0075
"MAR","TAIL","diff",-0.1266,0.0032,-0.1937,0.018,0.0476
"MNAR","RIGHT","no",0.0258,-0.4131,-0.09,-0.4057,-0.1364
"MNAR","RIGHT","yes",0.1165,-0.0471,-0.8493,-0.0101,3e-04
"MNAR","RIGHT","diff",-0.0907,0.3659,-0.7593,0.3956,0.1366
"MNAR","LEFT","no",0.0173,0.4116,-0.0929,0.4362,-0.1383
"MNAR","LEFT","yes",0.1153,0.0498,0.4108,0.0123,0.0021
"MNAR","LEFT","diff",-0.098,-0.3618,0.5038,-0.424,0.1403
"MNAR","MID","no",-0.0035,-0.0138,0.1603,-0.0277,0.3565
"MNAR","MID","yes",0.0953,0.0556,0.6717,-0.0059,0.0182
"MNAR","MID","diff",-0.0988,0.0693,0.5115,0.0218,-0.3383
"MNAR","TAIL","no",0.0023,-0.011,-0.1922,-0.0062,-0.307
"MNAR","TAIL","yes",0.1048,-0.0352,-0.8417,0.0013,-0.0069
"MNAR","TAIL","diff",-0.1025,-0.0242,-0.6495,0.0075,0.3001
"MCAR","MCAR","no",0.0201,8e-04,-0.0012,0.0165,-0.0042
"MCAR","MCAR","yes",0.1038,8e-04,-0.0035,0.0021,8e-04
"MCAR","MCAR","diff",-0.0838,0,-0.0023,-0.0144,0.005
"MCAR","MCAR","no",0.0035,1e-04,-0.0115,0.0019,-0.0049
"MCAR","MCAR","yes",0.1241,-0.0011,0.0063,-0.0017,8e-04
"MCAR","MCAR","diff",-0.1205,-0.0012,0.0179,-0.0036,0.0057
"MCAR","MCAR","no",-0.0014,-0.0072,0.0042,-0.0176,-0.0119
"MCAR","MCAR","yes",0.1002,-0.0056,-0.0797,-3e-04,-0.001
"MCAR","MCAR","diff",-0.1016,0.0016,-0.0839,0.0172,0.0109
"MCAR","MCAR","no",0.0616,0.0016,-0.0015,-0.0105,-0.0233
"MCAR","MCAR","yes",0.1146,-0.0043,-0.0611,3e-04,0.0042
"MCAR","MCAR","diff",-0.053,-0.0059,-0.0596,0.0108,0.0276
"MAR","RIGHT","no",0.0034,-0.222,-0.0234,-0.2282,-0.0367
"MAR","RIGHT","yes",0.1092,-0.0551,-0.3096,-0.0365,-0.0039
"MAR","RIGHT","diff",-0.1058,0.1669,-0.2863,0.1917,0.0328
"MAR","LEFT","no",-0.003,0.2164,-0.0258,0.2282,-0.0561
"MAR","LEFT","yes",0.0999,0.0554,0.2726,0.0371,-0.008
"MAR","LEFT","diff",-0.1029,-0.1611,0.2984,-0.1912,0.0481
"MAR","MID","no",-0.0053,-0.0017,0.0504,1e-04,0.0512
"MAR","MID","yes",0.095,0.0026,0.0549,-4e-04,0.0119
"MAR","MID","diff",-0.1003,0.0043,0.0045,-6e-04,-0.0393
"MAR","TAIL","no",-0.0285,0.0057,-0.0634,0.0096,-0.0845
"MAR","TAIL","yes",0.0956,-0.0174,-0.3004,-0.0015,-0.01
"MAR","TAIL","diff",-0.1241,-0.0231,-0.2371,-0.0111,0.0745
"MNAR","RIGHT","no",0.0143,-0.4146,-0.0964,-0.4131,-0.1816
"MNAR","RIGHT","yes",0.1148,-0.0515,-0.8462,-0.0132,6e-04
"MNAR","RIGHT","diff",-0.1004,0.3631,-0.7498,0.3999,0.1821
"MNAR","LEFT","no",-0.0178,0.4169,-0.0951,0.4127,-0.1041
"MNAR","LEFT","yes",0.083,0.0511,0.4128,0.0189,-5e-04
"MNAR","LEFT","diff",-0.1008,-0.3658,0.5079,-0.3938,0.1035
"MNAR","MID","no",0.0555,-0.0035,0.166,-0.0106,0.3891
"MNAR","MID","yes",0.1315,0.0775,0.7047,-0.005,0.0129
"MNAR","MID","diff",-0.076,0.081,0.5387,0.0056,-0.3763
"MNAR","TAIL","no",-0.0041,-0.0043,-0.1987,-0.0045,-0.3074
"MNAR","TAIL","yes",0.123,-0.0393,-0.8658,0.0027,-0.0041
"MNAR","TAIL","diff",-0.1271,-0.035,-0.6671,0.0072,0.3032
"MCAR","MCAR","no",0.0388,-0.0143,0.0025,-0.0107,-0.0065
"MCAR","MCAR","yes",0.1184,0.0189,0.1939,0.0028,0.0055
"MCAR","MCAR","diff",-0.0796,0.0332,0.1913,0.0134,0.012
"MCAR","MCAR","no",-0.0145,0.0077,0.0038,0.0167,0.0163
"MCAR","MCAR","yes",0.1104,0.0166,0.1978,-0.0017,3e-04
"MCAR","MCAR","diff",-0.1248,0.0089,0.194,-0.0184,-0.016
"MCAR","MCAR","no",-0.0313,-0.009,0.0069,-0.0122,0.0161
"MCAR","MCAR","yes",0.095,0.0079,0.0834,0.001,-4e-04
"MCAR","MCAR","diff",-0.1263,0.0169,0.0765,0.0132,-0.0165
"MCAR","MCAR","no",-0.004,-0.0033,0.0038,0.0012,0.0047
"MCAR","MCAR","yes",0.0805,-0.0067,-0.1324,8e-04,-7e-04
"MCAR","MCAR","diff",-0.0845,-0.0034,-0.1362,-4e-04,-0.0054
"MAR","RIGHT","no",0.0135,-0.2031,-0.0181,-0.2048,-0.0573
"MAR","RIGHT","yes",0.1067,-0.0679,-0.8408,-0.0341,-0.0076
"MAR","RIGHT","diff",-0.0932,0.1351,-0.8227,0.1707,0.0496
"MAR","LEFT","no",-0.0129,0.2069,-0.0238,0.205,-0.0463
"MAR","LEFT","yes",0.0888,0.0562,0.233,0.0387,-0.0039
"MAR","LEFT","diff",-0.1017,-0.1507,0.2568,-0.1662,0.0425
"MAR","MID","no",-0.0099,-0.0088,0.0502,-0.0167,0.0703
"MAR","MID","yes",0.0942,0.0059,0.1209,-0.0036,0.0114
"MAR","MID","diff",-0.1041,0.0147,0.0707,0.013,-0.0589
"MAR","TAIL","no",0.0104,-0.0159,-0.0538,-0.0084,-0.0872
"MAR","TAIL","yes",0.1349,-0.0136,-0.1716,0.0011,-0.0084
"MAR","TAIL","diff",-0.1245,0.0023,-0.1178,0.0095,0.0788
"MNAR","RIGHT","no",-0.0345,-0.4055,-0.0904,-0.4105,-0.103
"MNAR","RIGHT","yes",0.1073,-0.0518,-0.8476,-0.0153,0.0032
"MNAR","RIGHT","diff",-0.1418,0.3537,-0.7571,0.3952,0.1062
"MNAR","LEFT","no",0.0134,0.4063,-0.0808,0.3966,-0.0933
"MNAR","LEFT","yes",0.0891,0.0471,0.4049,0.0171,-1e-04
"MNAR","LEFT","diff",-0.0757,-0.3593,0.4857,-0.3794,0.0932
"MNAR","MID","no",-0.0044,-3e-04,0.1694,0.0058,0.4057
"MNAR","MID","yes",0.0996,0.064,0.7044,-0.0081,0.0198
"MNAR","MID","diff",-0.104,0.0643,0.5349,-0.0139,-0.3859
"MNAR","TAIL","no",0.0422,-0.0205,-0.194,-0.0125,-0.3224
"MNAR","TAIL","yes",0.1225,-0.0386,-0.8592,0.0013,-0.0085
"MNAR","TAIL","diff",-0.0802,-0.0182,-0.6652,0.0138,0.3138
"MCAR","MCAR","no",0.0085,-9e-04,-0.0185,-5e-04,-0.0372
"MCAR","MCAR","yes",0.11,-0.0051,-0.0854,0.0015,0.0024
"MCAR","MCAR","diff",-0.1015,-0.0042,-0.0669,0.0021,0.0396
"MCAR","MCAR","no",0.0018,-0.0147,0.0014,-0.0154,-0.0014
"MCAR","MCAR","yes",0.1239,-4e-04,-0.0121,4e-04,-3e-04
"MCAR","MCAR","diff",-0.1221,0.0142,-0.0135,0.0158,0.0011
"MCAR","MCAR","no",-0.0055,-0.0164,-0.0012,-0.0274,0.0127
"MCAR","MCAR","yes",0.0854,-0.0047,-0.0645,-0.002,-3e-04
"MCAR","MCAR","diff",-0.0909,0.0117,-0.0633,0.0255,-0.013
"MCAR","MCAR","no",0.0148,5e-04,-0.0088,0.0131,0.0039
"MCAR","MCAR","yes",0.0986,0.0028,0.017,1e-04,-0.0035
"MCAR","MCAR","diff",-0.0838,0.0023,0.0258,-0.013,-0.0073
"MAR","RIGHT","no",-0.0053,-0.2134,-0.0141,-0.2067,-0.019
"MAR","RIGHT","yes",0.1078,-0.0504,-0.2529,-0.034,-5e-04
"MAR","RIGHT","diff",-0.1131,0.1629,-0.2388,0.1727,0.0185
"MAR","LEFT","no",-0.0039,0.2024,-0.0347,0.2121,-0.0544
"MAR","LEFT","yes",0.104,0.0524,0.2338,0.0347,-0.0095
"MAR","LEFT","diff",-0.1079,-0.15,0.2685,-0.1775,0.0449
"MAR","MID","no",0.0083,-0.0074,0.0445,-0.0087,0.0574
"MAR","MID","yes",0.11,0.0144,0.1778,-4e-04,0.0109
"MAR","MID","diff",-0.1017,0.0218,0.1333,0.0084,-0.0466
"MAR","TAIL","no",-0.0094,0.0097,-0.0461,-0.0058,-0.0756
"MAR","TAIL","yes",0.1031,-0.0028,-0.0297,-2e-04,-0.013
"MAR","TAIL","diff",-0.1124,-0.0126,0.0163,0.0056,0.0626
"MNAR","RIGHT","no",0.0229,-0.4246,-0.0896,-0.4078,-0.1272
"MNAR","RIGHT","yes",0.1082,-0.049,-0.8398,-0.0131,-5e-04
"MNAR","RIGHT","diff",-0.0854,0.3756,-0.7502,0.3946,0.1268
"MNAR","LEFT","no",-0.0058,0.3982,-0.0964,0.3969,-0.1455
"MNAR","LEFT","yes",0.1155,0.0548,0.4269,0.0145,-0.004
"MNAR","LEFT","diff",-0.1213,-0.3434,0.5233,-0.3824,0.1415
"MNAR","MID","no",-0.0014,0.0052,0.1524,-0.0103,0.3417
"MNAR","MID","yes",0.0957,0.0554,0.6743,-0.0087,0.0162
"MNAR","MID","diff",-0.0971,0.0502,0.5219,0.0017,-0.3255
"MNAR","TAIL","no",-0.0333,0.01,-0.1996,0.0058,-0.3373
"MNAR","TAIL","yes",0.0801,-0.0284,-0.8131,0.0017,-0.0128
"MNAR","TAIL","diff",-0.1133,-0.0384,-0.6135,-0.0041,0.3245
"MCAR","MCAR","no",-0.0139,0.0191,0.0078,0.0133,0.0273
"MCAR","MCAR","yes",0.0888,0.0052,0.0834,-0.0018,0.0013
"MCAR","MCAR","diff",-0.1027,-0.0138,0.0756,-0.0151,-0.026
"MCAR","MCAR","no",-0.0324,0.004,-0.0021,8e-04,0.0164
"MCAR","MCAR","yes",0.1115,-0.0027,-0.0494,0.0032,-0.0028
"MCAR","MCAR","diff",-0.1438,-0.0067,-0.0473,0.0023,-0.0192
"MCAR","MCAR","no",0.0056,-0.0081,-0.0044,-0.0123,-0.0187
"MCAR","MCAR","yes",0.1308,-0.0117,-0.1805,0.0016,0.002
"MCAR","MCAR","diff",-0.1252,-0.0036,-0.1761,0.0139,0.0207
"MCAR","MCAR","no",-0.0318,-0.0055,0.0015,-0.0051,0.0129
"MCAR","MCAR","yes",0.0993,-0.006,-0.0455,-0.003,0.0043
"MCAR","MCAR","diff",-0.1311,-5e-04,-0.047,0.0021,-0.0086
"MAR","RIGHT","no",-0.0228,-0.2037,-0.0176,-0.2201,-0.0371
"MAR","RIGHT","yes",0.1051,-0.0617,-0.59,-0.0307,-0.0062
"MAR","RIGHT","diff",-0.1279,0.1419,-0.5723,0.1893,0.031
"MAR","LEFT","no",-0.0252,0.2009,-0.0215,0.2158,-0.0446
"MAR","LEFT","yes",0.0961,0.0461,0.1457,0.0359,-0.0078
"MAR","LEFT","diff",-0.1213,-0.1549,0.1672,-0.1799,0.0368
"MAR","MID","no",0.0237,-0.0019,0.0489,-0.0086,0.0617
"MAR","MID","yes",0.1045,0.0074,0.0885,0.0033,0.0113
"MAR","MID","diff",-0.0807,0.0093,0.0396,0.0119,-0.0505
"MAR","TAIL","no",0.0141,0.0085,-0.0378,0.0018,-0.0443
"MAR","TAIL","yes",0.0985,-0.0203,-0.3607,-0.001,-0.0101
"MAR","TAIL","diff",-0.0844,-0.0288,-0.3229,-0.0028,0.0341
"MNAR","RIGHT","no",0.0106,-0.4095,-0.0742,-0.4137,-0.1286
"MNAR","RIGHT","yes",0.0979,-0.0476,-0.8243,-0.0178,0.0011
"MNAR","RIGHT","diff",-0.0873,0.3619,-0.7501,0.3958,0.1297
"MNAR","LEFT","no",-0.0014,0.416,-0.1012,0.4066,-0.1767
"MNAR","LEFT","yes",0.1084,0.049,0.4143,0.0143,-0.0048
"MNAR","LEFT","diff",-0.1098,-0.367,0.5156,-0.3923,0.1719
"MNAR","MID","no",-0.0251,-0.0069,0.1689,0.0032,0.4073
"MNAR","MID","yes",0.1088,0.0701,0.7042,-0.0049,0.0132
"MNAR","MID","diff",-0.1339,0.077,0.5353,-0.0081,-0.3941
"MNAR","TAIL","no",0.017,0.0184,-0.1904,0.0262,-0.3298
"MNAR","TAIL","yes",0.1074,-0.0344,-0.8387,0.0019,-0.0089
"MNAR","TAIL","diff",-0.0904,-0.0528,-0.6483,-0.0243,0.3209
"MCAR","MCAR","no",-0.0013,-0.0048,0.0026,-4e-04,0.0237
"MCAR","MCAR","yes",0.0862,0.003,0.0315,0.0012,-2e-04
"MCAR","MCAR","diff",-0.0875,0.0079,0.0289,0.0016,-0.0238
"MCAR","MCAR","no",0.0391,0.0039,0.0083,-0.0047,0.0306
"MCAR","MCAR","yes",0.1221,0.0056,0.0513,0.0011,0.0012
"MCAR","MCAR","diff",-0.083,0.0017,0.043,0.0058,-0.0294
"MCAR","MCAR","no",-0.044,0.0039,-0.0062,0.0022,-0.0222
"MCAR","MCAR","yes",0.0881,-0.019,-0.375,0.0029,-0.0034
"MCAR","MCAR","diff",-0.1321,-0.0229,-0.3688,7e-04,0.0188
"MCAR","MCAR","no",-0.0242,-0.0048,0.0033,6e-04,-0.0069
"MCAR","MCAR","yes",0.1165,0.0079,0.0767,-6e-04,0.0017
"MCAR","MCAR","diff",-0.1407,0.0127,0.0734,-0.0012,0.0086
"MAR","RIGHT","no",0.007,-0.214,-0.0343,-0.2111,-0.0566
"MAR","RIGHT","yes",0.1058,-0.0652,-0.5908,-0.0359,-0.0065
"MAR","RIGHT","diff",-0.0988,0.1488,-0.5566,0.1752,0.05
"MAR","LEFT","no",-0.0542,0.2084,-0.0179,0.1881,-0.0403
"MAR","LEFT","yes",0.0863,0.048,0.1367,0.0338,-0.0067
"MAR","LEFT","diff",-0.1405,-0.1604,0.1545,-0.1543,0.0337
"MAR","MID","no",0.0143,-0.0068,0.0445,-0.0068,0.0652
"MAR","MID","yes",0.079,0.0155,0.3026,-0.0021,0.0157
"MAR","MID","diff",-0.0647,0.0223,0.2581,0.0047,-0.0494
"MAR","TAIL","no",-0.0351,-0.0058,-0.0483,-0.0118,-0.0614
"MAR","TAIL","yes",0.0943,-0.0154,-0.2547,4e-04,-0.0123
"MAR","TAIL","diff",-0.1294,-0.0096,-0.2063,0.0122,0.0491
"MNAR","RIGHT","no",0.0108,-0.4208,-0.0987,-0.4211,-0.1584
"MNAR","RIGHT","yes",0.0594,-0.0582,-0.7126,-0.0442,-0.0013
"MNAR","RIGHT","diff",-0.0487,0.3626,-0.6139,0.3769,0.1572
"MNAR","LEFT","no",0.014,0.4124,-0.0959,0.4035,-0.1449
"MNAR","LEFT","yes",0.1028,0.0507,0.4111,0.0175,-8e-04
"MNAR","LEFT","diff",-0.0889,-0.3616,0.5071,-0.3861,0.144
"MNAR","MID","no",-0.0191,-0.0082,0.1653,-0.0036,0.3768
"MNAR","MID","yes",0.0774,0.0478,0.6692,-0.0046,0.0194
"MNAR","MID","diff",-0.0965,0.056,0.5039,-0.001,-0.3574
"MNAR","TAIL","no",-0.0227,0.0013,-0.195,-0.0107,-0.3089
"MNAR","TAIL","yes",0.1091,-0.0344,-0.8513,0.004,-0.006
"MNAR","TAIL","diff",-0.1318,-0.0358,-0.6562,0.0148,0.303
"MCAR","MCAR","no",-0.0107,0.0117,0.0027,0.0158,-0.0022
"MCAR","MCAR","yes",0.0985,0.0084,0.0933,0.0027,-0.003
"MCAR","MCAR","diff",-0.1092,-0.0033,0.0907,-0.0131,-8e-04
"MCAR","MCAR","no",0.026,0.0243,-0.002,0.022,0.0024
"MCAR","MCAR","yes",0.1272,0.0082,0.1007,-4e-04,-0.0017
"MCAR","MCAR","diff",-0.1011,-0.0161,0.1027,-0.0223,-0.0041
"MCAR","MCAR","no",-0.01,-0.0147,-0.004,-0.016,-0.0188
"MCAR","MCAR","yes",0.0987,-0.0059,-0.0847,-2e-04,-0.0026
"MCAR","MCAR","diff",-0.1087,0.0088,-0.0807,0.0158,0.0161
"MCAR","MCAR","no",0.0219,0.0087,0.0116,0.002,0.0074
"MCAR","MCAR","yes",0.0807,-0.0081,-0.2136,0.0024,-0.0022
"MCAR","MCAR","diff",-0.0588,-0.0168,-0.2251,4e-04,-0.0095
"MAR","RIGHT","no",0.0205,-0.178,-0.0249,-0.1597,-0.0486
"MAR","RIGHT","yes",0.1039,-0.0516,-0.2537,-0.0345,-0.0075
"MAR","RIGHT","diff",-0.0833,0.1263,-0.2288,0.1252,0.0412
"MAR","LEFT","no",0.0293,0.1889,-0.0163,0.1942,-0.0267
"MAR","LEFT","yes",0.131,0.0473,0.2054,0.0292,-0.0047
"MAR","LEFT","diff",-0.1017,-0.1416,0.2217,-0.1649,0.022
"MAR","MID","no",0.0507,0.0077,0.0504,0.0056,0.0831
"MAR","MID","yes",0.0963,0.0157,0.2285,7e-04,0.0121
"MAR","MID","diff",-0.0456,0.008,0.178,-0.0049,-0.071
"MAR","TAIL","no",0.0034,3e-04,-0.0433,-0.0029,-0.0416
"MAR","TAIL","yes",0.1131,0.0029,0.0301,-1e-04,-0.0045
"MAR","TAIL","diff",-0.1097,0.0026,0.0735,0.0027,0.0371
"MNAR","RIGHT","no",-0.0157,-0.4191,-0.0773,-0.426,-0.0923
"MNAR","RIGHT","yes",0.0976,-0.0453,-0.826,-0.0095,0.0012
"MNAR","RIGHT","diff",-0.1134,0.3738,-0.7487,0.4165,0.0935
"MNAR","LEFT","no",-0.0332,0.4135,-0.1004,0.4015,-0.1355
"MNAR","LEFT","yes",0.0798,0.0529,0.41,0.0225,0.0045
"MNAR","LEFT","diff",-0.113,-0.3606,0.5104,-0.379,0.14
"MNAR","MID","no",-0.0365,-0.0059,0.1591,0.0077,0.3569
"MNAR","MID","yes",0.0845,0.0567,0.6643,-0.0013,0.0199
"MNAR","MID","diff",-0.121,0.0627,0.5053,-0.009,-0.337
"MNAR","TAIL","no",0.0406,-0.0174,-0.1991,-0.0094,-0.3483
"MNAR","TAIL","yes",0.0849,-0.0211,-0.7876,0.0061,-0.0208
"MNAR","TAIL","diff",-0.0443,-0.0036,-0.5885,0.0155,0.3275
"MCAR","MCAR","no",-0.0036,0.0023,-0.008,0.0051,-0.0069
